,Artist,Track,0,1,2,3,4,5
161,Nicki Minaj,Only,Drake,Lil Wayne,Chris Brown,,,
162,Nicki Minaj,Want Some More,,,,,,
163,Nicki Minaj,Four Door Aventador,,,,,,
164,Nicki Minaj,Favorite,Jeremih,,,,,
165,Nicki Minaj,Buy A Heart,Meek Mill,,,,,
166,Nicki Minaj,Trini Dem Girls,LunchMoney Lewis,,,,,
167,Nicki Minaj,Anaconda,,,,,,
168,Nicki Minaj,The Night Is Still Young,,,,,,
169,Nicki Minaj,Pills N Potions,,,,,,
170,Nicki Minaj,Bed Of Lies,Skylar Grey,,,,,
171,Nicki Minaj,Grand Piano,,,,,,
172,Nicki Minaj,Big Daddy,Meek Mill,,,,,
173,Nicki Minaj,Shanghai,,,,,,
174,Nicki Minaj,Win Again,,,,,,
175,Nicki Minaj,Mona Lisa,,,,,,
176,Nicki Minaj,Put You In A Room,,,,,,
177,Nicki Minaj,All Things Go,,,,,,
178,Nicki Minaj,I Lied,,,,,,
179,Nicki Minaj,The Crying Game,Jessie Ware,,,,,
180,Nicki Minaj,Get On Your Knees,Ariana Grande,,,,,
181,Nicki Minaj,Feeling Myself,Beyoncé,,,,,
182,Nicki Minaj,Only,Drake,Lil Wayne,Chris Brown,,,
183,Nicki Minaj,Want Some More,,,,,,
184,Nicki Minaj,Four Door Aventador,,,,,,
185,Nicki Minaj,Favorite,Jeremih,,,,,
186,Nicki Minaj,Buy A Heart,Meek Mill,,,,,
187,Nicki Minaj,Trini Dem Girls,LunchMoney Lewis,,,,,
188,Nicki Minaj,Anaconda,,,,,,
189,Nicki Minaj,The Night Is Still Young,,,,,,
190,Nicki Minaj,Pills N Potions,,,,,,
191,Nicki Minaj,Bed Of Lies,Skylar Grey,,,,,
192,Nicki Minaj,Grand Piano,,,,,,
193,Nicki Minaj,Big Daddy,Meek Mill,,,,,
194,Nicki Minaj,Shanghai,,,,,,
195,Nicki Minaj,Win Again,,,,,,
196,Nicki Minaj,Truffle Butter,Drake,Lil Wayne,,,,
197,Nicki Minaj,Mona Lisa,,,,,,
198,Nicki Minaj,Put You In A Room,,,,,,
199,Nicki Minaj,Wamables,,,,,,
200,Wiz Khalifa,True Colors ,Nicki Minaj,,,,,
201,Jessie J,Bang Bang,Ariana Grande,Nicki Minaj,,,,
202,Juicy J,Low ,Nicki Minaj,Lil Bibby,Young Thug,,,
203,August Alsina,No Love,Nicki Minaj,,,,,
204,Usher,She Came II Give It II U ,Nicki Minaj,,,,,
205,Romeo Santos,Animales ,Nicki Minaj,,,,,
206,YG,My Nigga,Lil Wayne,Rich Homie Quan,Meek Mill,Nicki Minaj,,
207,Rae Sremmurd,No Flex Zone,Nicki Minaj,Pusha T,,,,
208,Young Money,Lookin Ass,Nicki Minaj,,,,,
209,Young Money,Senile,Tyga,Nicki Minaj,Lil Wayne,,,
210,Meek Mill,Dope Dealer,Rick Ross,Nicki Minaj,,,,
211,Ciara,Livin' It Up ,Nicki Minaj,,,,,
