,Artist,Track,0,1,2,3,4,5,6
172,Quality Control,Bless Em (Takeoff,Takeoff,Travis Scott,,,,,
173,Post Malone,Take What You Want ,Ozzy Osbourne,Travis Scott,,,,,
174,Gucci Mane,Last Time ,Travis Scott,,,,,,
175,SLXWCLXP,DINOSAURS,Travis Scott,,,,,,
176,HYPBOi ; CHE,Money Power Respect (Remix),,,,,,,
177,Twanup,Mayweather ,Travis Scott,,,,,,
178,John Legend,Sin City,Travis Scott,Teyana Taylor,CyHi The Prynce,Malik Yusef,,,
179,Major Lazer,Know No Better,Travis Scott,Camila Cabello,Quavo,,,,
180,Miguel,Sky Walker ,Travis Scott,,,,,,
181,Ed Sheeran,Antisocial ,Travis Scott,,,,,,
182,Playboi Carti,Love Hurts ,Travis Scott,,,,,,
183,Kid Cudi,Baptized In Fire,Travis Scott,,,,,,
184,Candy Corn,Safe ,Jeremih,Travis Scott,,,,,
185,Young Thug,Hop Off A Jet ,Travis Scott,,,,,,
186,Sauce Walka,Texas Cyclone,Travis Scott,,,,,,
187,Brain Billz,Scene,Travis Scott,,,,,,
188,Young Thug,The London ,J. Cole,Travis Scott,,,,,
189,Young Thug,Hot (Remix) ,Travis Scott,Gunna,,,,,
190,Don Toliver,Had Enough ,Offset,Quavo,,,,,
191,JACKBOYS,OUT WEST ,Travis Scott,Young Thug,,,,,
192,JACKBOYS,WHAT TO DO? ,Travis Scott,Don Toliver,,,,,
193,JACKBOYS,GATTI,Pop Smoke,Travis Scott,,,,,
194,Migos,Give No Fxk,Travis Scott,Young Thug,,,,,
195,Cactus Jack,Marietta,,,,,,,
196,Cactus Jack,Intimist,,,,,,,
197,Travis Scott,Quintana,Meek Mill,,,,,,
198,Justin Bieber,Second Emotion ,Travis Scott,,,,,,
199,iAMWVS,EX BESTFRIEND,James Fauntleroy,Travis Scott,,,,,
200,Don Toliver,Euphoria ,Kaash Paige,Travis Scott,,,,,
201,Travis Scott,HIGHEST IN THE ROOM ,ROSALÍA,Lil Baby,,,,,
202,Jay Electronica,The Blinding,Travis Scott,,,,,,
203,Wale,Fish N Grits ,Travis Scott,,,,,,
204,NAV,Turks ,Gunna,Travis Scott,,,,,
205,JACKBOYS,GANG GANG,Sheck Wes,,,,,,
206,Meek Mill,Fuck,,,,,,,
207,THE SCOTTS,THE SCOTTS,Travis Scott,Kid Cudi,,,,,
208,NAV,Turks ,Gunna,Travis Scott,,,,,
209,Kanye West,Wash Us In The Blood,Travis Scott,,,,,,
