,Artist,Track,0,1,2,3,4,5,6,7,8
143,Gunplay,Power Circle,Kendrick Lamar,Rick Ross,Meek Mill,Wale,Stalley,,,,
144,Pusha T,Nosetalgia,Kendrick Lamar,,,,,,,,
145,Fredo Santana,Jealous,Kendrick Lamar,,,,,,,,
146,Eminem,Love Game,Kendrick Lamar,,,,,,,,
147,Kanin,Winner Circle ,Kendrick Lamar,,,,,,,,
148,YG Hootie,Two Presidents ,Kendrick Lamar,,,,,,,,
149,Balance,Fa Sho ,Kendrick Lamar,Jay Rock,Freeway,,,,,,
150,Imagine Dragons,Radioactive,Kendrick Lamar,,,,,,,,
151,ScHoolboy Q,Collard Greens,Kendrick Lamar,,,,,,,,
152,YG,Really Be (Smokin N Drinkin),Kendrick Lamar,,,,,,,,
153,Tame Impala,Backwards,Kendrick Lamar,,,,,,,,
154,Juicy J,I Want It All,Kendrick Lamar,,,,,,,,
155,Mykestro,Set Precedent (La Mix) ,Kendrick Lamar,,,,,,,,
156,Bigg Steele,My Boombox,Kendrick Lamar,Chino XL,,,,,,,
157,Alicia Keys,It's On Again,Kendrick Lamar,,,,,,,,
158,SZA,Babylon ,Kendrick Lamar,,,,,,,,
159,Mike WiLL Made-It,Buy The World,Lil Wayne,Kendrick Lamar,Future,,,,,,
160,Jasmine V,That’s Me Right There,Kendrick Lamar,,,,,,,,
161,Chris Brown,Autumn Leaves,Kendrick Lamar,,,,,,,,
162,Future,Buy the World,Lil Wayne,Kendrick Lamar,,,,,,,
163,YG Hootie,Two Presidents ,Kendrick Lamar,,,,,,,,
164,Jay Rock,Pay for It ,Kendrick Lamar,Chantal,,,,,,,
165,Jay Rock,Hood Gone Love It ,Kendrick Lamar,,,,,,,,
166,Jay Rock,Say Wassup ,ScHoolboy Q,Ab-Soul,Kendrick Lamar,,,,,,
167,Freeway,Fasho,Jay Rock,Balance,Kendrick Lamar,,,,,,
168,Mike WiLL Made-It,Buy The World,Future,Lil Wayne,Kendrick Lamar,,,,,,
169,Snoop Dogg,I'm Ya Dogg ,Kendrick Lamar,Rick Ross,,,,,,,
170,Taylor Swift,Bad Blood,Kendrick Lamar,,,,,,,,
171,Jidenna,Classic Man ,Kendrick Lamar,,,,,,,,
172,Jeezy,Holy Ghost,Kendrick Lamar,,,,,,,,
173,Bilal,Money Over Love,Kendrick Lamar,,,,,,,,
174,King Esko,Murda,Kendrick Lamar,Roscoe,,,,,,,
175,Glasses Malone,Thuggin',Kendrick Lamar,,,,,,,,
176,Jay Rock,Easy Bake ,Kendrick Lamar,SZA,,,,,,,
177,Flying Lotus,Never Catch Me,Kendrick Lamar,,,,,,,,
178,Funkadelic,Ain't That Funkin' Kinda Hard on You?,Kendrick Lamar,Ice Cube,,,,,,,
179,Jonathan Emile,Heaven Help Dem ,Kendrick Lamar,,,,,,,,
180,The Game,On Me ,Kendrick Lamar,,,,,,,,
181,Ty Dolla $ign,LA ,Brandy,James Fauntleroy,Kendrick Lamar,,,,,,
182,BJ The Chicago Kid,The New Cupid,Kendrick Lamar,,,,,,,,
183,Mistah F.A.B.,Survive,Kendrick Lamar,KXNG Crooked,Kobe Honeycutt,,,,,,
184,Reec,College Girls (Remix) ,DaxTailor,Kendrick Lamar,Cody Cooke,,,,,,
185,DJ Khaled,Holy Key ,Big Sean,Kendrick Lamar,Betty Wright,,,,,,
186,Isaiah Rashad,Wat's Wrong ,Zacari,Kendrick Lamar,,,,,,,
187,Mac Miller,"God Is Fair, Sexy Nasty ",Kendrick Lamar,,,,,,,,
188,Danny Brown,Really Doe,Kendrick Lamar,Ab-Soul,Earl Sweatshirt,,,,,,
189,Sia,The Greatest,Kendrick Lamar,,,,,,,,
190,The Weeknd,Sidewalks,Kendrick Lamar,,,,,,,,
191,Maroon 5,Don't Wanna Know ,Kendrick Lamar,,,,,,,,
192,Thundercat,Walk On By,Kendrick Lamar,,,,,,,,
193,Mike WiLL Made-It,Perfect Pint ,Kendrick Lamar,Gucci Mane,Rae Sremmurd,,,,,,
194,Future,Mask Off ,Kendrick Lamar,,,,,,,,
195,SZA,Doves In The Wind ,Kendrick Lamar,,,,,,,,
196,DJ Kay Slay,Cold Summer ,Kendrick Lamar,Mac Miller,Kevin Gates,Rell,,,,,
197,Rapsody,Power,Kendrick Lamar,Lance Skiiiwalker,,,,,,,
198,D J.Y.A.,Cities,Kendrick Lamar,,,,,,,,
199,YG Hootie,The City ,Kendrick Lamar,,,,,,,,
200,Jeezy,American Dream ,J. Cole,Kendrick Lamar,,,,,,,
201,N.E.R.D,Don't Don't Do It!,Kendrick Lamar,Pharrell Williams,,,,,,,
202,Cozz,Hustla’s Story ,Kendrick Lamar,,,,,,,,
203,Nipsey Hussle,Dedication ,Kendrick Lamar,,,,,,,,
204,Thundercat,Walk On By,OG Ron C,DJ Candlestick,Kendrick Lamar,,,,,,
205,Rich The Kid,New Freezer ,Kendrick Lamar,,,,,,,,
206,Jay Rock,Wow Freestyle ,Kendrick Lamar,,,,,,,,
