,Artist,Track,0,1,2,3
195,Justin Bieber,Sorry,J Balvin,,,
196,Chance the Rapper,Juke Jam ,Justin Bieber,Towkio,,
197,Poo Bear,Hard 2 Face Reality,Justin Bieber,Jay Electronica,,
198,Post Malone,Deja Vu,Justin Bieber,,,
199,Carly Rae Jepsen,Beautiful,Justin Bieber,,,
200,Skrillex,Where Are Ü Now LIVE ,Diplo,Jack Ü,Justin Bieber,
201,Usher,Somebody to Love ,Justin Bieber,benny blanco,,
202,Justin Bieber,Friends ,BloodPop®,Julia Michaels,,
203,Justin Bieber,As Long As You Love Me,Ferry Corsten,,,
204,DJ Snake,Let Me Love You -,With You.,Justin Bieber,,
205,Ariana Grande,Stuck,Justin Bieber,,,
